,product_type,product_package_name_ar,product_package_name_en,product_duration,product_package_descr_ar,product_package_descr_en,product_package_validity,value_proposition_ar,value_proposition_en,frequency,label_ar,label_en,product_quantity,roles,price,discounted_price,cat_arabic_name,cat_english_name,product_package_id,product_package_offer_id,l2,l1,priority_for_l2,priority_for_l1
430,auto_refresh_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,3 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,1 day 12:00:00,,,1,"{public,single}",11.0,9.9,أجهزة ألعاب الفيديو والإكسسوارات,Gaming Consoles & Accessories,1337,5455,Gaming Consoles & Accessories,Electronics & Home Appliances,10,5.0
431,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",21 days,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",30 days,,,,,,1,"{public,single}",94.7,77.0,شاليهات وكبائن للبيع,Chalets & Cabins For Sale,1432,5883,Chalets & Cabins For Sale,Properties,7,2.0
432,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و يتجدد لاول ٧ يوم,"Place 1 Ad for 21 days, Bump up for the first 7 days",21 days,إعلان صالح لمدة ٢١ يوم و يتجدد لاول ٧ يوم,"Place 1 Ad for 21 days, Bump up for the first 7 days",30 days,,,,,,1,"{public,single}",32.0,27.0,عقارات تجارية للإيجار,Commercials For Rent,1350,5851,Commercials For Rent,Properties,4,2.0
433,auto_refresh_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,3 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,1 day 12:00:00,,,1,"{public,single}",10.0,9.0,أجهزة منزلية أخرى,Other Home Appliances,1337,5459,Other Home Appliances,Electronics & Home Appliances,12,5.0
434,auto_refresh_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,3 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,1 day 12:00:00,,,1,"{public,single}",11.0,9.9,تلفزيونات و فيديو,TV & Video,1337,5460,TV & Video,Electronics & Home Appliances,1,5.0
435,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",21 days,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",30 days,,,,,,1,"{public,single}",68.6,45.0,عقارات تجارية للإيجار,Commercials For Rent,1432,5886,Commercials For Rent,Properties,4,2.0
436,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",21 days,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",30 days,,,,,,1,"{public,single}",94.7,77.0,ابنية ووحدات متعددة,Buildings & Multiple Units,1432,5882,Buildings & Multiple Units,Properties,9,2.0
437,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",21 days,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",30 days,,,,,,1,"{public,single}",94.7,77.0,عقارات تجارية للبيع,Commercials For Sale,1432,5888,Commercials For Sale,Properties,3,2.0
438,auto_refresh_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,3 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,1 day 12:00:00,,,1,"{public,single}",16.0,10.88,وظائف شاغرة,Jobs Available,1337,5520,Jobs Available,Jobs,2,12.0
439,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",21 days,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",30 days,,,,,,1,"{public,single}",68.6,45.0,شقق وفلل للإيجار,Apartments & Villas For Rent,1432,5885,Apartments & Villas For Rent,Properties,2,2.0
440,featured_ad,إعلان مميز  لمدة 180 يوم,Featured Ad for 180 days,180 days,إعلان مميز  لمدة 180 يوم,Featured Ad for 180 days,30 days,,,,,,1,"{public,single}",211.2,115.0,خدمات,Services,1427,5866,GENERAL,Services,14,
441,ad_limit_bump,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",21 days,إعلان صالح لمدة ٢١ يوم و مميز لمدة ٢١ يوم,"Place 1 Ad for 21 days, Featured for 21days",30 days,,,,,,1,"{public,single}",65.8,45.0,أراضي للإيجار,Lands for Rent,1432,5890,Lands for Rent,Properties,6,2.0
442,auto_refresh_ad,باقة Turbo 3 يوما,Turbo Bundle - 3 Days,3 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,30 days,إعلان مميز لمدة 3 ايام  يتجدد كل 36 ساعة,Featured Ad for 3 days & Bump up every 36 hours,1 day 12:00:00,الأكثر مبيعا,Best Selling,1,"{public,single}",11.0,9.9,أدوات وأجهزة المطبخ,Kitchen Equipment & Appliances,1337,5457,Kitchen Equipment & Appliances,Electronics & Home Appliances,3,5.0
